highlight_uid,highlight_name,highlight_type,highlight_author,app_name,APPL #1,APPL #2,APPL #3,APPL #4,app_code_list,manual_highlight_description,highlight_description,manual_image_url,image_url,video_url,main_link,article_links,tech_previous_work_description,tech_previous_work_url,tech_recommendation,tech_impact,notes,related_highlights,tech_external_url,partner_suricata_link,related_highlights,related_highlights,new image,Please write your initials on column F before starting to fill out new entries
IMP131,Drinkfinity,implementation,jgp,"Personalized Consumer Goods
Refill Packages/Reusable Packages",PERCONGDS,REFIPACK,,,"PERCONGDS,REFIPACK",,,https://www.bevindustry.com/ext/resources/2018/News/Drinkfinity_PeelPopShake_900.jpg?1519145413,https://www.bevindustry.com/ext/resources/2018/News/Drinkfinity_PeelPopShake_900.jpg?1519145413,,https://www.bevindustry.com/articles/90933-drinkfinity-offers-personalized-beverage-options,,,,,,,,,,,,,https://www.bevindustry.com/ext/resources/2018/News/Drinkfinity_PeelPopShake_900.jpg?1519145413
IMP135,Yonest,implementation,jgp,"Personalized Consumer Goods
Healthier Versions of Indulgences",PERCONGDS,HEALINDU,,,"PERCONGDS,HEALINDU",,,,,,https://www.yonest.com/,,,,,,,,,,,,,
IMP157,Live Metallica Setlists Are Based On Local Spotify User Data,implementation,jgp,"Personalized Consumer Goods
Neverending story",PERCONGDS,CUSTSTOR,,,"PERCONGDS,CUSTSTOR",,,,,,https://liveforlivemusic.com/news/metallica-setlists-spotify-data/,,,,,,,,,,,,,
IMP163,"
Walmart acquires Israel’s Aspectiva, which analyses UGC to recommend products to shoppers",implementation,jgp,"Personalized Consumer Goods
As convenient as the most convenient",PERCONGDS,CONVCONV,,,"PERCONGDS,CONVCONV",,,https://techcrunch.com/wp-content/uploads/2018/01/gettyimages-463871936.jpg?w=990&crop=1,https://techcrunch.com/wp-content/uploads/2018/01/gettyimages-463871936.jpg?w=990&crop=1,,https://techcrunch.com/2019/02/25/walmart-acquires-israels-aspectiva-which-analyses-ugc-to-recommend-products-to-shoppers/,,,,,,,,,,,,,https://techcrunch.com/wp-content/uploads/2018/01/gettyimages-463871936.jpg?w=990&crop=1
IMP039,Aeromexico DNA Discount,implementation,aec,Neverending story,CUSTSTOR,,,,CUSTSTOR,,"AeroMexico, the country's national carrier, unveils a program called ""DNA Discounts,"" which offers airfare cuts on flights to Americans who can prove they have Mexican DNA.",https://dynaimage.cdn.cnn.com/cnn/w_1200/http%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F190117170259-01-aeromexico-dna-ad-super-tease.jpg,https://dynaimage.cdn.cnn.com/cnn/w_1200/http%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F190117170259-01-aeromexico-dna-ad-super-tease.jpg,,https://edition.cnn.com/travel/article/aeromexico-dna-discount-travel-ad-video/index.html,,,,,,,,,,,,,https://dynaimage.cdn.cnn.com/cnn/w_1200/http%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F190117170259-01-aeromexico-dna-ad-super-tease.jpg
IMP037,Ariel Share the Load,implementation,aec,Neverending story,CUSTSTOR,,,,CUSTSTOR,,Are we teaching our sons what we have been teaching our daughters?,https://images.assettype.com/thequint/2019-01/1f07facb-6e75-481c-915b-c12c6a7eac4c/ariel.JPG,https://images.assettype.com/thequint/2019-01/1f07facb-6e75-481c-915b-c12c6a7eac4c/ariel.JPG,https://www.youtube.com/watch?v=8QDlv8kfwIM,https://www.thequint.com/lifestyle/life/ariels-share-the-load-campaign-gender-disparity-video,"https://www.ariel.in/en-in/about-ariel/share-the-load,https://www.ipsos.com/sites/default/files/ct/publication/documents/2017-10/Breaking_the_Stereotype-10-2017.PDF",,,,,,,,,,,,https://images.assettype.com/thequint/2019-01/1f07facb-6e75-481c-915b-c12c6a7eac4c/ariel.JPG
IMP038,Nothing beats a Londoner,implementation,jgp,Neverending story,CUSTSTOR,,,,CUSTSTOR,,Check out this Nike Ad as our record with Giggs prod. by Tone P & Mark Ronson is featured in this new Nike Campaign for London Athletes & Entertainers. @offi...,https://i.ytimg.com/vi/26qmJzTCRG4/maxresdefault.jpg,https://i.ytimg.com/vi/26qmJzTCRG4/maxresdefault.jpg,https://www.youtube.com/watch?v=26qmJzTCRG4,https://www.youtube.com/watch?v=26qmJzTCRG4,,,,,,,,,,,,,https://i.ytimg.com/vi/26qmJzTCRG4/maxresdefault.jpg
IMP043,Function of Beauty,implementation,aec,Neverending story,CUSTSTOR,,,,CUSTSTOR,,Frequently Asked Questions | Function of Beauty,,,,https://www.functionofbeauty.com/about/,,,,,,,,,,,,,
IMP125,Nike Self-lacing Shoes,implementation,jgp,"Personalized Consumer Goods
Genderless Design",PERCONGDS,GENDDESI,,,"PERCONGDS,GENDDESI",,Say hello to Adapt BB.,https://cdn.vox-cdn.com/thumbor/skPxLpNt_jlTC3FGfM5DQX1kSko=/0x292:2040x1360/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/13681416/fshivakumar_181109_3078_0001.jpg,https://cdn.vox-cdn.com/thumbor/skPxLpNt_jlTC3FGfM5DQX1kSko=/0x292:2040x1360/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/13681416/fshivakumar_181109_3078_0001.jpg,,https://www.theverge.com/2019/1/15/18167388/nike-self-lacing-shoes-adapt-bb-smart-bluetooth-app-features-battery-life-price-release-date,,,,,,,,,,,,,https://cdn.vox-cdn.com/thumbor/skPxLpNt_jlTC3FGfM5DQX1kSko=/0x292:2040x1360/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/13681416/fshivakumar_181109_3078_0001.jpg
IMP040,Uber Unhappy Hour,implementation,aec,Neverending story,CUSTSTOR,,,,CUSTSTOR,,"This Sunday, Uber Rewards members in the losing city get free* rides for 60 minutes after the game.",https://uberblogapi.10upcdn.com/wp-content/uploads/2019/01/Endcard_1080x540_B.gif,https://uberblogapi.10upcdn.com/wp-content/uploads/2019/01/Endcard_1080x540_B.gif,,https://www.uber.com/en-CA/blog/biggame/,,,,,,,,,,,,,https://uberblogapi.10upcdn.com/wp-content/uploads/2019/01/Endcard_1080x540_B.gif
IMP041,"""Dream it, Make it""",implementation,jgp,Neverending story,CUSTSTOR,,,,CUSTSTOR,,"Whatever you dream of, make it a reality with Squarespace.",https://i.ytimg.com/vi/gD-yffxKvMM/hqdefault.jpg?sqp=-oaymwEWCKgBEF5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAnjXIbiiUiIT8LmEGoTLpOcs__3g,https://i.ytimg.com/vi/gD-yffxKvMM/hqdefault.jpg?sqp=-oaymwEWCKgBEF5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAnjXIbiiUiIT8LmEGoTLpOcs__3g,https://www.youtube.com/watch?time_continue=57&v=Xb6GU3ywU6U,https://www.youtube.com/playlist?list=PLtF-ZfyeXJcew2fYXmaLEdggPdKdjn7kL,,,,,,,,,,,,,https://i.ytimg.com/vi/gD-yffxKvMM/hqdefault.jpg?sqp=-oaymwEWCKgBEF5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAnjXIbiiUiIT8LmEGoTLpOcs__3g
PRT043,COMPT,partner,jgp,Every employee has a different story,DIFFSTRY,,,,DIFFSTRY,Create easy-to-manage and flexible Lifestyle Spending Accounts that put the money in the hands of your employees so they can get the perks they want and need most.,Create easy-to-manage and flexible Lifestyle Spending Accounts that put the money in the hands of your employees so they can get the perks they want and need most.,,,,https://www.compt.io/?ref=betalist,,,,,,,,,,,,,
PRT001,IBM's Food Traceability,partner,jgp,"Traceability applications
Neverending story",TRACEABI,CUSTSTOR,,,"TRACEABI,CUSTSTOR","IBM's Food Trust Ledger allows consumers to discover the whole story of the products, from farm to shelf","IBM's Food Trust Ledger allows consumers to discover the whole story of the products, from farm to shelf",https://images.pexels.com/photos/162637/watering-watering-can-man-vietnam-162637.jpeg,https://images.pexels.com/photos/162637/watering-watering-can-man-vietnam-162637.jpeg,,https://www.ibm.com/blockchain/solutions/food-trust,,,,,,,,,,,,,https://images.pexels.com/photos/162637/watering-watering-can-man-vietnam-162637.jpeg
PRT041,Sonder People,partner,aec,Neverending story,CUSTSTOR,,,,CUSTSTOR,,,,,,https://sonderpeople.com/,,,,,,,,,,,,,
PRT066,TRUST,partner,jgp,Neverending story,CUSTSTOR,,,,CUSTSTOR,,,,,,http://www.trusttm.com/en/,,,,,,,,,,,,,
PRT059,NOURISH3D,partner,jgp,"Nutritional Personal Counseling
Personalized Consumer Goods",NUTRCOUN,PERCONGDS,,,"NUTRCOUN,PERCONGDS",,"At nourish3D we invented a radical new way for your daily vitamins & minerals. We print chewable, delicious stacks containing 7 personalised inclusions from a selection of 27 active ingredients. 1 of over 100 billion combinations will be just right for you. To be one of the very first to get your stack: Pre-Order now!",,,,https://get-nourished.com/,,,,,,,,,,,,,
PRT065,Pikkart,partner,jgp,Neverending story,CUSTSTOR,,,,CUSTSTOR,,"Azienda IT, unica in Italia a possedere un software di Realtà Aumentata proprietario. Professionisti di Computer Vision, Deep Learning, Machine Learning ed Intelligenza Artificiale",/immagini/logo/thumb.jpg,/immagini/logo/thumb.jpg,,http://www.pikkart.com,,,,,,,,,,,,,/oldtechimg//immagini/logo/thumb.jpg.jpg
PRT115,The Book of Everyone,partner,jgp,Personalized Consumer Goods,PERCONGDS,,,,PERCONGDS,,"Create a beautifully designed, personalised gift book celebrating someone's life, based on their birth date. Make a book in only 40 seconds!",https://dmwtc4afbu6an.cloudfront.net/images/og_card-41e44799368bdf181ce01cef8444edb7.jpg?vsn=d,https://dmwtc4afbu6an.cloudfront.net/images/og_card-41e44799368bdf181ce01cef8444edb7.jpg?vsn=d,,https://thebookofeveryone.com/,,,,,,,,,,,,,https://dmwtc4afbu6an.cloudfront.net/images/og_card-41e44799368bdf181ce01cef8444edb7.jpg?vsn=d
PRT042,wemonty,partner,jgp,Neverending story,CUSTSTOR,,,,CUSTSTOR,,"Everything necessary, delivered intelligently",https://betalist.imgix.net/attachments/d2cadd09-358e-4209-9a6e-acaddc1e0ed3/image.jpg?ixlib=rb-1.1.0,https://betalist.imgix.net/attachments/d2cadd09-358e-4209-9a6e-acaddc1e0ed3/image.jpg?ixlib=rb-1.1.0,,https://betalist.com/startups/wemonty,,,,,,,,,,,,,https://betalist.imgix.net/attachments/d2cadd09-358e-4209-9a6e-acaddc1e0ed3/image.jpg?ixlib=rb-1.1.0
PRT003,Magic Candy Factory,partner,jgp,Personalized Consumer Goods,PERCONGDS,,,,PERCONGDS,,"Magic Candy Factory 
The Katjes Magic Candy Factory is a completely unique form of event entertainment, fusing innovative technology and candy to produce a fun interactive experience that provides the ultimate WOW factor!",http://magiccandyfactory.com/wp-content/uploads/2019/01/Magic-candy-factory-logo-s.png,http://magiccandyfactory.com/wp-content/uploads/2019/01/Magic-candy-factory-logo-s.png,,http://magiccandyfactory.com/events/,,,,,,,,,,,,,http://magiccandyfactory.com/wp-content/uploads/2019/01/Magic-candy-factory-logo-s.png
IMAN8,Flexitarianism: Meatless Mondays,implementation,man,Flexitarian campaigns,FLEXCAMP,,,,FLEXCAMP,"Meat Free Monday highlights how going without meat for at least one day a week can make a huge difference to the planet, health and even our pockets. With high profile chefs now embracing and celebrating vegetables, “flexitarianism” on the rise.","Meat Free Monday highlights how going without meat for at least one day a week can make a huge difference to the planet, health and even our pockets. With high profile chefs now embracing and celebrating vegetables, “flexitarianism” on the rise.",,,,https://www.meatfreemondays.com/,,,,,,,,,,,,,
IMP092,Packed cookies for a snack ,implementation,man,Small form factors,SMALFORM,,,,SMALFORM,"NOTA: despromovido de app para implementation by tpc. Na verdade, gostaria de questionar se mii-doses é uma trend para 2019… ver este artigo de 2013 a falar do assunto: https://www.bbc.com/news/magazine-21443166 ","NOTA: despromovido de app para implementation by tpc. Na verdade, gostaria de questionar se mii-doses é uma trend para 2019… ver este artigo de 2013 a falar do assunto: https://www.bbc.com/news/magazine-21443166 ",,,,,,,,,,,,,,,,,
IMP094,Ready meals for one ,implementation,man,Small form factors,SMALFORM,,,,SMALFORM,"NOTA: despromovido de app para implementation by tpc. Na verdade, gostaria de questionar se mii-doses é uma trend para 2019… ver este artigo de 2013 a falar do assunto: https://www.bbc.com/news/magazine-21443166 ","NOTA: despromovido de app para implementation by tpc. Na verdade, gostaria de questionar se mii-doses é uma trend para 2019… ver este artigo de 2013 a falar do assunto: https://www.bbc.com/news/magazine-21443166 ",,,,,,,,,,,,,,,,,
IMP009,OoHo,implementation,tpc,"Alternative materials to plastic
Small form factors",ALTEPLAS,SMALFORM,,,"ALTEPLAS,SMALFORM","Ooho is a spherical flexible packaging can also be used for other liquids including water, soft drinks, spirits and cosmetics, and our proprietary material is actually cheaper than plastic. A compound made from brown algae and calcium chloride creates a gel around the water. While the package is being formed, the water is frozen as ice, making it possible to create a bigger sphere and keeping the ingredients in the membrane and out of the water","Ooho is a spherical flexible packaging can also be used for other liquids including water, soft drinks, spirits and cosmetics, and our proprietary material is actually cheaper than plastic. A compound made from brown algae and calcium chloride creates a gel around the water. While the package is being formed, the water is frozen as ice, making it possible to create a bigger sphere and keeping the ingredients in the membrane and out of the water",/main/img/oldtechimg/ooho.jpg,/main/img/oldtechimg/ooho.jpg,,http://www.skippingrockslab.com,,,,,,,,,,,TECH43,,/oldtechimg//main/img/oldtechimg/ooho.jpg.jpg
TECH30:3,Kinsa Baby Thermometer,implementation,tpc,"Health Support Range
Promote and Communicate Health",HEALSUPP,PROMHEAL,,,"HEALSUPP,PROMHEAL","The Kinsa Smart Ear Thermometer connects to your smartphone via an app, and provides technical guidance for parents who don't know whether to call the paediatrician or treat a child at home. It also provides information about diseases going around at the child’s school and local area.","The Kinsa Smart Ear Thermometer connects to your smartphone via an app, and provides technical guidance for parents who don't know whether to call the paediatrician or treat a child at home. It also provides information about diseases going around at the child’s school and local area.",/main/img/oldtechimg/Kinsa.jpg,/main/img/oldtechimg/Kinsa.jpg,,https://www.kinsahealth.co/products/,,,,,,,,,,"TECH30,TECH30:2,TECH30:1","TECH30,TECH30:1,TECH30:2",,/oldtechimg//main/img/oldtechimg/Kinsa.jpg.jpg
